cot_source_report_date,Market_and_Exchange_Names,Open_Interest_All,Dealer_Positions_Long_All,Dealer_Positions_Short_All,Asset_Mgr_Positions_Long_All,Asset_Mgr_Positions_Short_All,Lev_Money_Positions_Long_All,Lev_Money_Positions_Short_All,Other_Rept_Positions_Long_All,Other_Rept_Positions_Short_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,dealer_net_all,dealer_net_ratio_all,asset_mgr_net_all,asset_mgr_net_ratio_all,lev_money_net_all,lev_money_net_ratio_all,other_rept_net_all,other_rept_net_ratio_all,nonrept_net_all,nonrept_net_ratio_all
2018-04-10,CME BITCOIN MAIN_PLUS_MICRO AGGREGATE,1702,0,0,122,0,902,1108,53,207,1103,1341,599,361,0,0.0,122,0.07168037602820211,-206,-0.12103407755581669,-154,-0.09048178613396005,238,0.1398354876615746
2018-04-17,CME BITCOIN MAIN_PLUS_MICRO AGGREGATE,2029,0,0,122,0,1053,1313,130,332,1347,1687,682,342,0,0.0,122,0.06012814194184327,-260,-0.12814194184327254,-202,-0.09955643173977329,340,0.16757023164120255
2018-04-24,CME BITCOIN MAIN_PLUS_MICRO AGGREGATE,2380,0,0,105,0,1194,1682,198,336,1551,2072,829,308,0,0.0,105,0.04411764705882353,-488,-0.20504201680672268,-138,-0.05798319327731093,521,0.21890756302521008
2018-05-01,CME BITCOIN MAIN_PLUS_MICRO AGGREGATE,1991,0,0,0,0,1198,1348,177,283,1402,1658,589,333,0,0.0,0,0.0,-150,-0.07533902561526871,-106,-0.053239578101456554,256,0.12857860371672528
2018-05-08,CME BITCOIN MAIN_PLUS_MICRO AGGREGATE,2485,0,0,0,0,1284,1707,391,368,1695,2095,790,390,0,0.0,0,0.0,-423,-0.17022132796780684,23,0.00925553319919517,400,0.16096579476861167
2018-05-15,CME BITCOIN MAIN_PLUS_MICRO AGGREGATE,2505,0,0,0,29,1338,1657,337,366,1701,2078,804,427,0,0.0,-29,-0.01157684630738523,-319,-0.12734530938123753,-29,-0.01157684630738523,377,0.150499001996008
2018-05-22,CME BITCOIN MAIN_PLUS_MICRO AGGREGATE,2684,0,0,0,29,1323,1872,462,327,1835,2278,849,406,0,0.0,-29,-0.010804769001490314,-549,-0.20454545454545456,135,0.05029806259314456,443,0.1650521609538003
2018-05-29,CME BITCOIN MAIN_PLUS_MICRO AGGREGATE,2714,0,0,38,25,1172,1812,486,416,1754,2311,960,403,0,0.0,13,0.004789977892409728,-640,-0.23581429624170966,70,0.025792188651436992,557,0.20523212969786292
2018-06-05,CME BITCOIN MAIN_PLUS_MICRO AGGREGATE,2556,0,0,47,29,1126,1845,540,305,1740,2206,816,350,0,0.0,18,0.007042253521126761,-719,-0.28129890453834117,235,0.09194053208137715,466,0.18231611893583724
2018-06-12,CME BITCOIN MAIN_PLUS_MICRO AGGREGATE,2643,29,0,0,108,1349,1634,427,440,1824,2201,819,442,29,0.010972379871358306,-108,-0.04086265607264472,-285,-0.10783200908059024,-13,-0.004918653045781309,377,0.14264093832765795
2018-06-19,CME BITCOIN MAIN_PLUS_MICRO AGGREGATE,2633,29,0,52,59,1478,1414,159,590,1829,2174,804,459,29,0.011014052411697683,-7,-0.002658564375237372,64,0.024306874287884542,-431,-0.16369160653247247,345,0.13102924420812762
2018-06-26,CME BITCOIN MAIN_PLUS_MICRO AGGREGATE,2687,29,0,0,111,1508,1505,171,515,1848,2271,839,416,29,0.010792705619650168,-111,-0.041310011164867884,3,0.0011164867882396724,-344,-0.12802381838481577,423,0.15742463714179383
2018-07-03,CME BITCOIN MAIN_PLUS_MICRO AGGREGATE,2514,0,0,44,84,1198,1639,438,366,1728,2137,786,377,0,0.0,-40,-0.015910898965791568,-441,-0.17541766109785203,72,0.028639618138424822,409,0.16268894192521877
2018-07-10,CME BITCOIN MAIN_PLUS_MICRO AGGREGATE,2622,0,0,0,119,1412,1652,396,368,1921,2252,701,370,0,0.0,-119,-0.04538520213577422,-240,-0.09153318077803203,28,0.010678871090770405,331,0.12623951182303586
2018-07-17,CME BITCOIN MAIN_PLUS_MICRO AGGREGATE,2854,0,0,25,89,1469,1990,493,332,2070,2494,784,360,0,0.0,-64,-0.02242466713384723,-521,-0.18255080588647513,161,0.05641205325858444,424,0.14856341976173792
2018-07-24,CME BITCOIN MAIN_PLUS_MICRO AGGREGATE,3431,30,0,44,164,1353,2313,868,392,2500,3074,931,357,30,0.008743806470416789,-120,-0.034975225881667155,-960,-0.27980180705333724,476,0.13873506266394636,574,0.16729816380064122
2018-07-31,CME BITCOIN MAIN_PLUS_MICRO AGGREGATE,3063,0,0,0,209,1722,1969,259,340,2248,2785,815,278,0,0.0,-209,-0.06823375775383611,-247,-0.08063989552726085,-81,-0.02644466209598433,537,0.17531831537708129
2018-08-07,CME BITCOIN MAIN_PLUS_MICRO AGGREGATE,2732,0,0,0,143,1481,1454,135,470,1932,2383,800,349,0,0.0,-143,-0.052342606149341143,27,0.009882869692532943,-335,-0.1226207906295754,451,0.1650805270863836
2018-08-14,CME BITCOIN MAIN_PLUS_MICRO AGGREGATE,2983,0,0,0,215,2065,1766,138,521,2278,2577,705,406,0,0.0,-215,-0.0720750921890714,299,0.10023466309084814,-383,-0.12839423399262487,299,0.10023466309084814
2018-08-21,CME BITCOIN MAIN_PLUS_MICRO AGGREGATE,2981,0,0,0,191,2104,1838,85,515,2270,2625,711,356,0,0.0,-191,-0.06407245890640724,266,0.08923180140892319,-430,-0.1442468970144247,355,0.11908755451190875
2018-08-28,CME BITCOIN MAIN_PLUS_MICRO AGGREGATE,2840,0,0,67,170,1688,1745,160,529,1981,2510,859,330,0,0.0,-103,-0.03626760563380282,-57,-0.02007042253521127,-369,-0.12992957746478873,529,0.18626760563380282
2018-09-04,CME BITCOIN MAIN_PLUS_MICRO AGGREGATE,2707,0,0,99,140,1187,1657,576,532,1887,2354,820,353,0,0.0,-41,-0.015145917990395271,-470,-0.1736239379386775,44,0.01625415589213151,467,0.17251570003694125
2018-09-11,CME BITCOIN MAIN_PLUS_MICRO AGGREGATE,2711,0,0,0,199,1630,1322,116,727,1968,2470,743,241,0,0.0,-199,-0.0734046477314644,308,0.11361121357432681,-611,-0.2253780892659535,502,0.18517152342309112
2018-09-18,CME BITCOIN MAIN_PLUS_MICRO AGGREGATE,2742,0,0,0,140,1566,1382,90,654,1884,2404,858,338,0,0.0,-140,-0.05105762217359591,184,0.06710430342815463,-564,-0.20568927789934355,520,0.18964259664478483
2018-09-25,CME BITCOIN MAIN_PLUS_MICRO AGGREGATE,2746,0,1,0,131,1412,1420,213,539,1957,2423,789,323,-1,-0.0003641660597232338,-131,-0.047705753823743625,-8,-0.0029133284777858705,-326,-0.11871813546977422,466,0.16970138383102695
2018-10-02,CME BITCOIN MAIN_PLUS_MICRO AGGREGATE,2354,0,40,26,125,1237,1342,327,566,1613,2096,741,258,-40,-0.016992353440951572,-99,-0.04205607476635514,-105,-0.044604927782497875,-239,-0.10152931180968564,483,0.20518266779949024
2018-10-09,CME BITCOIN MAIN_PLUS_MICRO AGGREGATE,2848,0,76,0,121,1643,1656,395,606,2062,2483,786,365,-76,-0.026685393258426966,-121,-0.042485955056179775,-13,-0.004564606741573034,-211,-0.07408707865168539,421,0.14782303370786518
2018-10-16,CME BITCOIN MAIN_PLUS_MICRO AGGREGATE,2730,0,76,54,108,1606,1620,302,556,2026,2424,704,306,-76,-0.02783882783882784,-54,-0.01978021978021978,-14,-0.005128205128205128,-254,-0.09304029304029304,398,0.1457875457875458
2018-10-23,CME BITCOIN MAIN_PLUS_MICRO AGGREGATE,3001,0,76,0,161,1659,1400,211,531,2336,2634,665,367,-76,-0.025324891702765744,-161,-0.05364878373875375,259,0.08630456514495169,-320,-0.10663112295901367,298,0.09930023325558147
2018-10-30,CME BITCOIN MAIN_PLUS_MICRO AGGREGATE,2608,0,0,0,238,1789,1511,184,451,2055,2282,553,326,0,0.0,-238,-0.09125766871165644,278,0.10659509202453987,-267,-0.10237730061349694,227,0.0870398773006135
